"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 15 02:52:54 UTC 2023","Fri Sep 15 02:52:59 UTC 2023","5155","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Fri Sep 15 02:42:51 UTC 2023","Fri Sep 15 02:42:55 UTC 2023","3564","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Fri Sep 15 02:29:34 UTC 2023","Fri Sep 15 02:29:36 UTC 2023","2437","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Sep 15 04:23:52 UTC 2023","Fri Sep 15 04:23:54 UTC 2023","1889","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Fri Sep 15 02:40:41 UTC 2023","Fri Sep 15 02:40:50 UTC 2023","8998","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Fri Sep 15 02:21:02 UTC 2023","Fri Sep 15 02:21:12 UTC 2023","9578","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Fri Sep 15 03:13:14 UTC 2023","Fri Sep 15 03:13:15 UTC 2023","1830","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Fri Sep 15 04:39:02 UTC 2023","Fri Sep 15 04:39:33 UTC 2023","30610","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Fri Sep 15 02:50:08 UTC 2023","Fri Sep 15 02:50:08 UTC 2023","473","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Fri Sep 15 03:15:50 UTC 2023","Fri Sep 15 03:15:52 UTC 2023","1660","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Fri Sep 15 02:44:12 UTC 2023","Fri Sep 15 02:45:17 UTC 2023","65240","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Fri Sep 15 02:53:26 UTC 2023","Fri Sep 15 02:53:29 UTC 2023","3088","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Fri Sep 15 03:34:36 UTC 2023","Fri Sep 15 03:34:46 UTC 2023","9340","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Fri Sep 15 02:34:42 UTC 2023","Fri Sep 15 02:34:45 UTC 2023","2304","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Sep 15 03:34:13 UTC 2023","Fri Sep 15 03:34:15 UTC 2023","2696","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Fri Sep 15 03:09:06 UTC 2023","Fri Sep 15 03:09:35 UTC 2023","28399","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Fri Sep 15 03:57:29 UTC 2023","Fri Sep 15 03:57:33 UTC 2023","4258","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Fri Sep 15 03:15:45 UTC 2023","Fri Sep 15 03:15:50 UTC 2023","4998","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Fri Sep 15 04:39:33 UTC 2023","Fri Sep 15 04:39:35 UTC 2023","2030","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"failed","Fri Sep 15 04:25:17 UTC 2023","Fri Sep 15 04:28:21 UTC 2023","184232","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Fri Sep 15 04:25:15 UTC 2023","Fri Sep 15 04:25:17 UTC 2023","2276","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Fri Sep 15 02:31:51 UTC 2023","Fri Sep 15 02:32:01 UTC 2023","10550","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Fri Sep 15 03:27:14 UTC 2023","Fri Sep 15 03:27:15 UTC 2023","1130","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Fri Sep 15 04:23:54 UTC 2023","Fri Sep 15 04:25:01 UTC 2023","66222","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Fri Sep 15 02:53:29 UTC 2023","Fri Sep 15 02:53:30 UTC 2023","466","","6. Company Account","","","","9. Review Final Review",""
"passed","Fri Sep 15 04:38:50 UTC 2023","Fri Sep 15 04:38:51 UTC 2023","1464","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Fri Sep 15 02:22:30 UTC 2023","Fri Sep 15 02:22:43 UTC 2023","12364","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Fri Sep 15 04:22:44 UTC 2023","Fri Sep 15 04:22:44 UTC 2023","21","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Fri Sep 15 02:25:11 UTC 2023","Fri Sep 15 02:26:03 UTC 2023","52134","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Fri Sep 15 03:08:52 UTC 2023","Fri Sep 15 03:09:06 UTC 2023","13707","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Fri Sep 15 02:21:02 UTC 2023","Fri Sep 15 02:21:02 UTC 2023","66","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Fri Sep 15 04:22:35 UTC 2023","Fri Sep 15 04:22:44 UTC 2023","8740","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Fri Sep 15 03:01:33 UTC 2023","Fri Sep 15 03:01:52 UTC 2023","19238","","9. Client Portal - Home","","","","1. Check links",""
"passed","Fri Sep 15 04:22:47 UTC 2023","Fri Sep 15 04:23:13 UTC 2023","25994","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Fri Sep 15 03:49:46 UTC 2023","Fri Sep 15 03:54:05 UTC 2023","259125","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Fri Sep 15 02:49:08 UTC 2023","Fri Sep 15 02:49:09 UTC 2023","1970","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Sep 15 02:49:10 UTC 2023","Fri Sep 15 02:49:21 UTC 2023","11400","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Fri Sep 15 03:59:51 UTC 2023","Fri Sep 15 03:59:52 UTC 2023","433","","20. Admin Portal - Check details","","","","3. Check panels existence",""
